,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
64,2020/12/04,N,0,12,744524,17℃,19℃,阴~小雨,2179,1520,Y,0,10.107
65,2020/12/05,Y,週六,12,744524,18℃,18℃,阴~小雨,914,748,Y,0,18.874
66,2020/12/06,Y,週日,12,744524,19℃,21℃,阴~中雨,2432,1198,Y,0,16.535
67,2020/12/07,N,0,12,744524,18℃,22℃,阴~中雨,1274,845,Y,0,14.858
68,2020/12/08,N,0,12,744524,19℃,19℃,阴~中雨,1145,901,Y,0,6.208
69,2020/12/09,N,0,12,744524,20℃,20℃,阴~中雨,2074,2031,Y,0,5.534
70,2020/12/10,N,0,12,744524,20℃,21℃,阴~小雨,1773,1277,Y,0,11.814
71,2020/12/11,N,0,12,744524,18℃,21℃,阴~小雨,3335,1520,Y,0,8.841
72,2020/12/12,Y,週六,12,744524,17℃,19℃,阴~多云,1464,1242,Y,0,14.5
73,2020/12/13,Y,週日,12,744524,17℃,20℃,多云~小雨,4514,1232,Y,0,17.546
74,2020/12/14,N,0,12,744524,15℃,18℃,阴~小雨,2011,889,Y,0,14.383
75,2020/12/15,N,0,12,744524,15℃,16℃,阴~小雨,1162,816,Y,0,14.393
76,2020/12/16,N,0,12,744524,15℃,16℃,阴~中雨,1545,1669,Y,0,13.055
77,2020/12/17,N,0,12,744524,17℃,17℃,阴~小雨,1197,1118,Y,0,10.094
78,2020/12/18,N,0,12,744524,16℃,19℃,阴~小雨,2361,1789,Y,0,8.539
79,2020/12/19,Y,週六,12,744524,15℃,17℃,阴~小雨,909,842,Y,0,27.934
80,2020/12/20,Y,週日,12,744524,15℃,17℃,阴~小雨,2620,1283,Y,0,48.981
81,2020/12/21,N,0,12,744524,15℃,18℃,小雨,1119,847,Y,0,16.097
82,2020/12/22,N,0,12,744524,19℃,20℃,阴~小雨,1351,774,Y,0,15.206
83,2020/12/23,N,0,12,744524,18℃,21℃,阴~小雨,1712,1503,Y,0,8.507
84,2020/12/24,N,0,12,744524,16℃,19℃,阴~小雨,1604,1348,Y,0,11.243
85,2020/12/25,N,行憲紀念日,12,744524,17℃,17℃,阴~小雨,2506,1559,Y,0,17.188
86,2020/12/26,Y,週六,12,744524,17℃,20℃,多云,1163,1139,Y,0,23.202
87,2020/12/27,Y,週日,12,744524,18℃,21℃,阴~小雨,2533,1259,Y,0,22.424
88,2020/12/28,N,0,12,744524,19℃,20℃,阴~多云,1208,1191,Y,0,17.693
89,2020/12/29,N,0,12,744524,11℃,23℃,阴~小雨,1285,896,Y,0,13.678
90,2020/12/30,N,0,12,744524,7℃,12℃,小雨,1791,1575,Y,0,12.991
91,2020/12/31,N,0,12,744524,12°C,7℃,小雨,1239,1458,Y,0,20.309
