,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
0,2020/10/01,Y,中秋節,12,141691,22℃,27℃,多云~晴,1527,1907,Y,0,31.014
1,2020/10/02,N,0,12,141691,23℃,28℃,晴,2407,2071,Y,0,29.039
2,2020/10/03,Y,週六,12,141691,23℃,29℃,晴~多云,780,648,Y,0,35.925
3,2020/10/04,Y,週日,12,141691,24℃,29℃,多云~小雨,2506,1347,N,0,26.894
4,2020/10/05,N,0,12,141691,23℃,26℃,阴~小雨,1241,1545,Y,0,35.844
5,2020/10/06,N,0,12,141691,22℃,25℃,阴,1398,820,Y,0,20.312
6,2020/10/07,N,0,12,141691,21℃,25℃,阴~小雨,2068,1507,Y,0,17.447
7,2020/10/08,N,0,12,141691,22℃,25℃,阴~小雨,1691,1531,Y,0,16.115
8,2020/10/09,Y,國慶日/雙十節彈性放假 補假,12,141691,22℃,26℃,阴~小雨,2281,2125,Y,0,33.746
9,2020/10/10,Y,國慶日/雙十節彈性放假,12,141691,23℃,25℃,阴~小雨,989,625,Y,0,30.263
10,2020/10/11,Y,週日,12,141691,24℃,28℃,阴~小雨,2396,1332,N,0,32.691
11,2020/10/12,N,0,12,141691,24℃,27℃,阴~小雨,1347,1185,Y,0,18.919
12,2020/10/13,N,0,12,141691,23℃,27℃,阴~小雨,1362,799,Y,0,17.573
13,2020/10/14,N,0,12,141691,23℃,27℃,多云~小雨,2858,1754,Y,0,17.375
14,2020/10/15,N,0,12,141691,23℃,26℃,阴~小雨,1165,1214,Y,0,22.327
15,2020/10/16,N,0,12,141691,22℃,26℃,阴~中雨,1735,1560,Y,0,13.883
16,2020/10/17,Y,週六,12,141691,22℃,24℃,阴~小雨,726,443,Y,0,30.512
17,2020/10/18,Y,週日,12,141691,22℃,24℃,阴~小雨,2167,1453,Y,0,41.986
18,2020/10/19,N,0,12,141691,22℃,24℃,阴~小雨,1007,1676,Y,0,24.28
19,2020/10/20,N,0,12,141691,24℃,24℃,阴~小雨,1165,967,Y,0,17.67
20,2020/10/21,N,0,12,141691,23℃,26℃,阴~中雨,1955,2028,Y,0,14.627
21,2020/10/22,N,0,12,141691,19℃,24℃,阴~小雨,1217,2911,Y,0,18.684
22,2020/10/23,N,0,12,141691,20℃,23℃,阴~多云,1771,1647,Y,0,15.812
23,2020/10/24,Y,週六,12,141691,21℃,22℃,阴~多云,585,1206,Y,0,33.167
24,2020/10/25,Y,重陽節,12,141691,22℃,25℃,阴~多云,2517,2401,Y,0,33.454
25,2020/10/26,N,0,12,141691,22℃,26℃,多云~小雨,832,863,Y,0,17.066
26,2020/10/27,N,0,12,141691,22℃,27℃,多云,874,682,Y,0,19.782
27,2020/10/28,N,0,12,141691,22℃,27℃,阴~小雨,1567,1742,Y,0,12.57
28,2020/10/29,N,0,12,141691,24°C,21℃,小雨,1262,1787,Y,0,14.363
29,2020/10/30,N,0,12,141691,23°C,19℃,阴转多云,2074,1851,Y,0,19.391
30,2020/10/31,Y,週六,12,141691,24°C,19℃,多云转晴,783,1061,Y,0,28.669
31,2020/11/01,Y,週日,12,141691,21℃,26℃,阴~晴,2055,1483,Y,0,31.534
32,2020/11/02,N,0,12,141691,19℃,25℃,阴~小雨,916,1420,Y,0,24.182
33,2020/11/03,N,0,12,141691,19℃,22℃,阴~小雨,1112,767,N,0,20.532
34,2020/11/04,N,0,12,141691,19℃,21℃,多云~小雨,1589,1569,Y,0,16.041
35,2020/11/05,N,0,12,141691,23℃,24℃,阴~小雨,1352,1511,Y,0,22.429
36,2020/11/06,N,0,12,141691,23℃,28℃,阴~多云,1940,1846,Y,0,19.822
37,2020/11/07,Y,週六,12,141691,20℃,26℃,阴~中雨,586,707,Y,0,28.708
38,2020/11/08,Y,週日,12,141691,20℃,23℃,阴~小雨,2033,1410,Y,0,46.742
39,2020/11/09,N,0,12,141691,19℃,22℃,阴~小雨,841,1013,Y,0,16.562
40,2020/11/10,N,0,12,141691,19℃,21℃,阴~小雨,921,994,Y,0,27.514
41,2020/11/11,N,0,12,141691,20℃,23℃,阴~小雨,1751,1622,Y,0,20.756
42,2020/11/12,N,0,12,141691,21℃,24℃,阴~小雨,1153,1347,Y,0,18.665
43,2020/11/13,N,0,12,141691,21℃,23℃,阴~中雨,2274,1730,Y,0,16.096
44,2020/11/14,Y,週六,12,141691,21℃,22℃,阴~多云,731,712,Y,0,29.823
45,2020/11/15,Y,週日,12,141691,21℃,26℃,多云,2455,1447,Y,0,19.048
46,2020/11/16,N,0,12,141691,22℃,26℃,多云~小雨,1165,1233,Y,0,17.842
47,2020/11/17,N,0,12,141691,22℃,25℃,多云~晴,1032,741,Y,0,26.758
48,2020/11/18,N,0,12,141691,21℃,27℃,晴,1901,1882,Y,0,12.788
49,2020/11/19,N,0,12,141691,22℃,27℃,多云~晴,1429,1306,Y,0,14.085
