,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
0,2019/01/01,Y,中華民國開國紀念日/元旦,12,744524,16℃,19℃,小雨~中雨,74918,66923,Y,0,33.165
1,2019/01/02,N,0,12,744524,16℃,18℃,小雨~中雨,76772,66254,Y,0,8.98
2,2019/01/03,N,0,12,744524,17℃,20℃,小雨,80331,67465,Y,0,16.005
3,2019/01/04,N,0,12,744524,18℃,26℃,多云,85491,71544,Y,0,15.132
4,2019/01/05,Y,週六,12,744524,17℃,21℃,阴~小雨,86558,69783,Y,0,16.862
5,2019/01/06,Y,週日,12,744524,16℃,19℃,小雨,82141,72411,Y,0,33.884
6,2019/01/07,N,0,12,744524,18℃,23℃,多云~小雨,72579,66503,Y,0,11.83
7,2019/01/08,N,0,12,744524,17℃,20℃,小雨,72073,70538,Y,0,11.797
8,2019/01/09,N,0,12,744524,17℃,21℃,小雨~多云,75188,78746,Y,0,6.596
9,2019/01/10,N,0,12,744524,19℃,24℃,小雨~多云,77255,82587,Y,0,12.121
10,2019/01/11,N,0,12,744524,18℃,23℃,多云,80647,94375,Y,0,13.368
11,2019/01/12,Y,週六,12,744524,17℃,18℃,小雨,81081,92763,Y,0,17.039
12,2019/01/13,Y,週日,12,744524,15℃,18℃,小雨,81925,86409,Y,0,39.855
13,2019/01/14,N,0,12,744524,16℃,21℃,多云,76681,76057,Y,0,12.728
14,2019/01/15,N,0,12,744524,17℃,23℃,小雨,88326,81198,Y,0,16.314
15,2019/01/16,N,0,12,744524,16℃,19℃,中雨,84688,78996,Y,0,12.466
16,2019/01/17,N,0,12,744524,15℃,17℃,小雨,71515,73338,Y,0,12.021
17,2019/01/18,N,0,12,744524,16℃,20℃,多云,63345,68908,Y,0,7.614
18,2019/01/19,N,0,12,744524,18℃,22℃,阴~多云,61449,69010,Y,0,17.178
19,2019/01/20,Y,週日,12,744524,15℃,21℃,小雨,64715,79466,Y,0,24.257
20,2019/01/21,N,0,12,744524,14℃,17℃,小雨,55618,72005,Y,0,21.71
21,2019/01/22,N,0,12,744524,13℃,16℃,小雨~多云,52024,63731,Y,0,12.346
22,2019/01/23,N,0,12,744524,15℃,18℃,多云,53116,61192,Y,0,4.33
23,2019/01/24,N,0,12,744524,15℃,19℃,阴~多云,58432,64174,Y,0,8.887
24,2019/01/25,N,0,12,744524,13℃,20℃,多云~阴,66644,69788,Y,0,8.181
25,2019/01/26,Y,週六,12,744524,12℃,15℃,小雨,66633,73733,Y,0,28.618
26,2019/01/27,Y,週日,12,744524,14℃,17℃,小雨~多云,67263,80025,Y,0,24.945
27,2019/01/28,N,春節前週一,12,744524,16℃,20℃,多云~小雨,61978,78310,Y,0,6.18
28,2019/01/29,N,春節前週二,12,744524,17℃,21℃,多云~晴,60000,74935,Y,0,7.763
29,2019/01/30,N,春節前週三,12,744524,15℃,22℃,多云~晴,62485,71699,Y,0,9.281
30,2019/01/31,N,春節前週四,12,744524,13℃,23℃,小雨,67061,74886,Y,0,18.555
31,2019/02/01,N,春節前週五,12,744524,14℃,17℃,小雨~阴,73751,84144,Y,0,23.219
32,2019/02/02,Y,春節前週六,12,744524,17℃,23℃,多云,74935,84832,Y,0,29.193
33,2019/02/03,Y,春節前週日,12,744524,17℃,25℃,多云~小雨,76958,90522,Y,0,29.122
34,2019/02/04,Y,夕除,12,744524,17℃,20℃,小雨,73600,81469,Y,0,11.308
35,2019/02/05,Y,春節,12,744524,16℃,22℃,小雨~多云,73706,76445,Y,0,6.598
36,2019/02/06,Y,農曆初二,12,744524,17℃,24℃,多云,75224,75586,Y,0,8.84
37,2019/02/07,Y,農曆初三,12,744524,17℃,25℃,多云~小雨,81982,75327,Y,0,9.22
38,2019/02/08,Y,農曆初四,12,744524,17℃,20℃,小雨~阴,86910,82307,Y,0,10.144
39,2019/02/09,Y,農曆初五,12,744524,16℃,18℃,小雨,88069,80947,Y,0,23.969
40,2019/02/10,Y,農曆初二,12,744524,17℃,20℃,小雨,89765,82609,Y,0,58.745
41,2019/02/11,N,0,12,744524,16℃,19℃,小雨,51603,61931,Y,0,21.624
42,2019/02/12,N,0,12,744524,17℃,23℃,多云~阴,33371,46794,Y,0,14.179
43,2019/02/13,N,0,12,744524,18℃,20℃,小雨~阴,49019,66766,Y,0,10.376
44,2019/02/14,N,0,12,744524,18℃,21℃,小雨~阴,54794,72545,Y,0,10.28
45,2019/02/15,N,0,12,744524,17℃,22℃,小雨,57607,78560,Y,0,15.979
46,2019/02/16,Y,週六,12,744524,16℃,19℃,小雨,61680,81877,Y,0,31.325
47,2019/02/17,Y,週日,12,744524,16℃,20℃,小雨,53848,73446,Y,0,23.698
48,2019/02/18,N,0,12,744524,18℃,23℃,小雨~阴,46693,57896,Y,0,20.499
49,2019/02/19,N,元宵節,12,744524,18℃,23℃,多云,33226,62139,Y,0,16.125
50,2019/02/20,N,0,12,744524,18℃,24℃,多云~小雨,52944,70562,Y,0,13.503
51,2019/02/21,N,0,12,744524,17℃,20℃,小雨,62825,74913,Y,0,12.239
52,2019/02/22,N,0,12,744524,13℃,18℃,小雨,65302,72285,Y,0,7.319
53,2019/02/23,N,0,12,744524,13℃,15℃,小雨~中雨,70167,75616,Y,0,20.724
