,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
64,2019/03/06,N,0,12,141691,14℃,19℃,小雨~中雨,62789,78367,Y,0,29.913
65,2019/03/07,N,0,12,141691,12℃,15℃,中雨,61423,72216,Y,0,22.629
66,2019/03/08,N,婦女節,12,141691,13℃,17℃,中雨~大雨,76363,78292,Y,0,35.176
67,2019/03/09,Y,週六,12,141691,16℃,20℃,大雨,70643,76867,Y,0,51.543
68,2019/03/10,Y,週日,12,141691,14℃,17℃,小雨~多云,66910,86282,Y,0,43.402
69,2019/03/11,N,0,12,141691,14℃,18℃,小雨~多云,61240,81317,Y,0,34.387
70,2019/03/12,N,0,12,141691,17℃,22℃,晴,59404,86832,Y,0,28.516
71,2019/03/13,N,0,12,141691,16℃,22℃,小雨~多云,67655,96744,Y,0,20.849
72,2019/03/14,N,0,12,141691,15℃,22℃,阴~小雨,72737,97992,Y,0,16.172
73,2019/03/15,N,0,12,141691,15℃,19℃,多云,86394,80172,Y,0,14.026
74,2019/03/16,Y,週六,12,141691,16℃,20℃,阴~多云,91612,61377,Y,0,33.967
75,2019/03/17,Y,週日,12,141691,18℃,22℃,多云~小雨,101329,75571,Y,0,40.009
76,2019/03/18,N,0,12,141691,17℃,22℃,阴~多云,90794,71156,Y,0,22.001
77,2019/03/19,N,0,12,141691,18℃,23℃,阴~多云,80480,64359,Y,0,24.264
78,2019/03/20,N,0,12,141691,19℃,26℃,多云,73826,64088,Y,0,23.522
79,2019/03/21,N,0,12,141691,19℃,26℃,多云~小雨,74616,70635,Y,0,18.954
80,2019/03/22,N,0,12,141691,14℃,20℃,小雨,79725,75973,Y,0,19.83
81,2019/03/23,Y,週六,12,141691,14℃,17℃,小雨,75996,74205,Y,0,39.559
82,2019/03/24,Y,週日,12,141691,16℃,19℃,小雨,84587,84486,Y,0,53.035
83,2019/03/25,N,0,12,141691,16℃,21℃,小雨~多云,76344,79713,Y,0,23.724
84,2019/03/26,N,0,12,141691,16℃,22℃,多云,72578,76278,Y,0,25.476
85,2019/03/27,N,0,12,141691,18℃,24℃,多云,57981,74180,Y,0,13.314
86,2019/03/28,N,0,12,141691,20℃,27℃,阴~多云,44289,62083,Y,0,17.253
87,2019/03/29,N,青年節,12,141691,18℃,23℃,小雨~中雨,57519,72111,Y,0,19.989
88,2019/03/30,Y,週六,12,141691,18℃,23℃,阴~小雨,83335,76852,Y,0,31.726
89,2019/03/31,Y,週日,12,141691,15℃,19℃,小雨,84438,87931,Y,0,35.617
90,2019/04/01,N,0,12,141691,16℃,20℃,小雨,80364,84991,Y,0,22.818
91,2019/04/02,N,0,12,141691,18℃,22℃,小雨,73149,78377,Y,0,23.68
92,2019/04/03,N,0,12,141691,19℃,22℃,小雨~多云,78096,77722,Y,0,21.975
93,2019/04/04,Y,兒童節,12,141691,19℃,25℃,阴,83076,76539,Y,0,32.336
94,2019/04/05,Y,清明節,12,141691,19℃,23℃,阴~多云,71724,78757,Y,0,18.592
95,2019/04/06,Y,週六,12,141691,20℃,25℃,多云,88152,80044,Y,0,32.022
96,2019/04/07,Y,週日,12,141691,21℃,25℃,多云,86588,90052,Y,0,22.839
97,2019/04/08,N,0,12,141691,20℃,26℃,多云,79834,84855,Y,0,19.941
98,2019/04/09,N,0,12,141691,22℃,27℃,多云,75689,81974,Y,0,0.608
99,2019/04/10,N,0,12,141691,18℃,27℃,阴,78037,83378,Y,0,21.565
100,2019/04/11,N,0,12,141691,17℃,24℃,小雨~中雨,73264,86926,Y,0,12.267
